pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
346,1,,10,1,10,shade,Plantago insularis,,8,29,5,,
346,1,,10,2,10,shade,Plantago insularis,,8,51,4,,
346,1,,10,3,10,shade,Plantago insularis,,8,54,4,,
347,1,,11,1,10,shade,Plantago insularis,,9,52,6,,
347,1,,11,2,10,shade,Plantago insularis,,9,46,4,,
347,1,,11,3,10,shade,Plantago insularis,,9,49,5,,
348,1,,12,1,10,shade,Plantago insularis,,8,61,6,,
348,1,,12,2,10,shade,Plantago insularis,,8,50,5,,
348,1,,12,3,10,shade,Plantago insularis,,8,52,6,,
349,1,,1,1,20,shade,Plantago insularis,,14,52,4,,
349,1,,1,2,20,shade,Plantago insularis,,14,36,4,,
349,1,,1,3,20,shade,Plantago insularis,,14,48,4,,
350,1,,2,1,20,shade,Plantago insularis,,15,51,4,,
350,1,,2,2,20,shade,Plantago insularis,,15,53,4,,
350,1,,2,3,20,shade,Plantago insularis,,15,25,4,,
351,1,,3,1,20,shade,Plantago insularis,,12,50,4,,
351,1,,3,2,20,shade,Plantago insularis,,12,44,3,,
351,1,,3,3,20,shade,Plantago insularis,,12,45,3,,
352,1,,4,1,20,shade,Plantago insularis,,16,45,4,,
352,1,,4,2,20,shade,Plantago insularis,,16,46,4,,
352,1,,4,3,20,shade,Plantago insularis,,16,49,4,,
353,1,,5,1,20,shade,Plantago insularis,,14,56,6,,
353,1,,5,2,20,shade,Plantago insularis,,14,55,4,,
353,1,,5,3,20,shade,Plantago insularis,,14,49,4,,
354,1,,6,1,20,shade,Plantago insularis,,0,,,,
354,1,,6,2,20,shade,Plantago insularis,,,,,,
354,1,,6,3,20,shade,Plantago insularis,,,,,,
355,1,,7,1,20,shade,Plantago insularis,,16,59,4,,
355,1,,7,2,20,shade,Plantago insularis,,16,41,4,,
355,1,,7,3,20,shade,Plantago insularis,,16,59,4,,
356,1,,8,1,20,shade,Plantago insularis,,16,56,4,,
356,1,,8,2,20,shade,Plantago insularis,,16,54,4,,
356,1,,8,3,20,shade,Plantago insularis,,16,56,4,,
357,1,,9,1,20,shade,Plantago insularis,,17,46,4,,
357,1,,9,2,20,shade,Plantago insularis,,17,55,2,,
357,1,,9,3,20,shade,Plantago insularis,,17,56,4,,
358,1,,10,1,20,shade,Plantago insularis,,7,39,3,,
358,1,,10,2,20,shade,Plantago insularis,,7,38,2,,
358,1,,10,3,20,shade,Plantago insularis,,7,31,2,,
359,1,,11,1,20,shade,Plantago insularis,,10,49,4,,
359,1,,11,2,20,shade,Plantago insularis,,10,41,4,,
359,1,,11,3,20,shade,Plantago insularis,,10,44,4,,
360,1,,12,1,20,shade,Plantago insularis,,15,9,3,,
360,1,,12,2,20,shade,Plantago insularis,,15,40,4,,
360,1,,12,3,20,shade,Plantago insularis,,15,64,4,,
1,2,,1,1,1,noshade,Salvia colombriae,,0,,,,
2,2,,2,1,1,noshade,Salvia colombriae,,0,,,,
3,2,,3,1,1,noshade,Salvia colombriae,,0,,,,
4,2,,4,1,1,noshade,Salvia colombriae,,2,59,9,,
5,2,,5,1,1,noshade,Salvia colombriae,,2,88,10,,
6,2,,6,1,1,noshade,Salvia colombriae,,0,,,,
7,2,,7,1,1,noshade,Salvia colombriae,,0,,,,
8,2,,8,1,1,noshade,Salvia colombriae,,0,,,,
9,2,,9,1,1,noshade,Salvia colombriae,,1,59,12,,
10,2,,10,1,1,noshade,Salvia colombriae,,0,,,,
11,2,,11,1,1,noshade,Salvia colombriae,,0,,,,
12,2,,12,1,1,noshade,Salvia colombriae,,0,,,,
13,2,,1,1,2,noshade,Salvia colombriae,,1,78,13,,
13,2,,1,2,2,noshade,Salvia colombriae,,,,,,
14,2,,2,1,2,noshade,Salvia colombriae,,1,54,12,,
14,2,,2,2,2,noshade,Salvia colombriae,,,,,,
15,2,,3,1,2,noshade,Salvia colombriae,,0,,,,
15,2,,3,2,2,noshade,Salvia colombriae,,,,,,
16,2,,4,1,2,noshade,Salvia colombriae,,1,51,10,,
16,2,,4,2,2,noshade,Salvia colombriae,,,,,,
17,2,,5,1,2,noshade,Salvia colombriae,,2,70,12,,
17,2,,5,2,2,noshade,Salvia colombriae,,2,60,13,,
18,2,,6,1,2,noshade,Salvia colombriae,,0,,,,
18,2,,6,2,2,noshade,Salvia colombriae,,,,,,
19,2,,7,1,2,noshade,Salvia colombriae,,0,,,,
19,2,,7,2,2,noshade,Salvia colombriae,,,,,,
20,2,,8,1,2,noshade,Salvia colombriae,,1,42,11,,
20,2,,8,2,2,noshade,Salvia colombriae,,,,,,
21,2,,9,1,2,noshade,Salvia colombriae,,2,56,12,,
21,2,,9,2,2,noshade,Salvia colombriae,,2,81,13,,
22,2,,10,1,2,noshade,Salvia colombriae,,0,,,,
22,2,,10,2,2,noshade,Salvia colombriae,,,,,,
23,2,,11,1,2,noshade,Salvia colombriae,,0,,,,
23,2,,11,2,2,noshade,Salvia colombriae,,,,,,
24,2,,12,1,2,noshade,Salvia colombriae,,0,,,,
24,2,,12,2,2,noshade,Salvia colombriae,,,,,,
25,2,,1,1,5,noshade,Salvia colombriae,,0,,,,
25,2,,1,2,5,noshade,Salvia colombriae,,,,,,
25,2,,1,3,5,noshade,Salvia colombriae,,,,,,
26,2,,2,1,5,noshade,Salvia colombriae,,1,66,14,,
26,2,,2,2,5,noshade,Salvia colombriae,,,,,,
26,2,,2,3,5,noshade,Salvia colombriae,,,,,,
27,2,,3,1,5,noshade,Salvia colombriae,,2,11,1,,
27,2,,3,2,5,noshade,Salvia colombriae,,2,31,11,,
27,2,,3,3,5,noshade,Salvia colombriae,,,,,,
28,2,,4,1,5,noshade,Salvia colombriae,,0,,,,
28,2,,4,2,5,noshade,Salvia colombriae,,,,,,
28,2,,4,3,5,noshade,Salvia colombriae,,,,,,
29,2,,5,1,5,noshade,Salvia colombriae,,3,71,11,,
29,2,,5,2,5,noshade,Salvia colombriae,,3,83,11,,
29,2,,5,3,5,noshade,Salvia colombriae,,3,89,13,,
30,2,,6,1,5,noshade,Salvia colombriae,,0,,,,
30,2,,6,2,5,noshade,Salvia colombriae,,,,,,
30,2,,6,3,5,noshade,Salvia colombriae,,,,,,
31,2,,7,1,5,noshade,Salvia colombriae,,3,30,9,,
31,2,,7,2,5,noshade,Salvia colombriae,,3,39,11,,
31,2,,7,3,5,noshade,Salvia colombriae,,3,46,8,,
32,2,,8,1,5,noshade,Salvia colombriae,,1,41,10,,
32,2,,8,2,5,noshade,Salvia colombriae,,,,,,
32,2,,8,3,5,noshade,Salvia colombriae,,,,,,
33,2,,9,1,5,noshade,Salvia colombriae,,3,64,12,,
33,2,,9,2,5,noshade,Salvia colombriae,,3,69,10,,
33,2,,9,3,5,noshade,Salvia colombriae,,3,24,4,,
34,2,,10,1,5,noshade,Salvia colombriae,,3,67,14,,
