rep,dt,n,cor,sub_n
56,2018-10-24T11:11:01Z,40,0.595003949,50
57,2018-10-24T11:11:01Z,40,0.645366033,50
58,2018-10-24T11:11:01Z,40,0.484203748,50
59,2018-10-24T11:11:01Z,40,0.698278167,50
60,2018-10-24T11:11:01Z,40,0.600325275,50
61,2018-10-24T11:11:01Z,40,0.576735528,50
62,2018-10-24T11:11:01Z,40,0.196490665,50
63,2018-10-24T11:11:01Z,40,0.52709122,50
64,2018-10-24T11:11:01Z,40,0.507319099,50
65,2018-10-24T11:11:01Z,40,0.58301864,50
66,2018-10-24T11:11:01Z,40,0.47912397,50
67,2018-10-24T11:11:01Z,40,0.527719675,50
68,2018-10-24T11:11:01Z,40,0.71830904,50
69,2018-10-24T11:11:01Z,40,0.415990176,50
70,2018-10-24T11:11:01Z,40,0.414288364,50
71,2018-10-24T11:11:01Z,40,0.437763928,50
72,2018-10-24T11:11:01Z,40,0.50817386,50
73,2018-10-24T11:11:01Z,40,0.568601163,50
74,2018-10-24T11:11:01Z,40,0.494317325,50
75,2018-10-24T11:11:01Z,40,0.567983812,50
76,2018-10-24T11:11:01Z,40,0.56182478,50
77,2018-10-24T11:11:01Z,40,0.654761154,50
78,2018-10-24T11:11:01Z,40,0.232756771,50
79,2018-10-24T11:11:01Z,40,0.541949782,50
80,2018-10-24T11:11:01Z,40,0.447468529,50
81,2018-10-24T11:11:01Z,40,0.466566596,50
82,2018-10-24T11:11:01Z,40,0.420926077,50
83,2018-10-24T11:11:01Z,40,0.446822131,50
84,2018-10-24T11:11:01Z,40,0.481460803,50
